AmountOfGivenCredit,Gender,Education,MaritalStatus,Age,RepaymentStatus,AmountOfBillStatement,AmountOfPreviousPayment,Outcome
330000,Male,University,Married,47,-2,19540,25487,0
500000,Female,Graduate School,Single,31,0,258257,25239,0
200000,Male,Graduate School,Others,29,-1,7505,5919,0
200000,Male,University,Married,36,2,7300,3238,1
210000,Female,University,Single,27,-1,5353,280,0
500000,Female,Graduate School,Married,46,-2,3982,3718,0
10000,Female,University,Married,44,0,4125,1275,0
160000,Female,Graduate School,Single,24,0,37000,0,0
50000,Female,High School,Married,42,0,50906,2009,0
130000,Male,University,Single,33,1,130565,5012,0
140000,Female,Graduate School,Single,28,0,138036,6600,1
80000,Female,University,Single,45,0,83150,0,0
500000,Female,Graduate School,Single,31,-2,17496,2000,1
500000,Female,University,Married,39,0,146700,4585,0
320000,Female,University,Married,35,0,4050,1073,0
50000,Male,University,Single,29,1,49612,0,0
120000,Female,University,Single,40,0,4180,1000,0
500000,Male,Graduate School,Married,59,-2,0,0,1
290000,Female,University,Married,42,-2,-132,18496,0
280000,Male,Graduate School,Married,50,-1,19378,348,0
30000,Female,High School,Married,41,0,39230,1618,1
80000,Male,Graduate School,Single,31,1,21004,0,1
50000,Male,University,Single,24,0,48136,3700,0
10000,Male,High School,Single,24,1,7826,1200,0
550000,Male,Graduate School,Married,49,-1,42141,1522,1
60000,Male,University,Single,41,0,14895,6750,0
140000,Female,University,Married,28,0,5925,2000,0
50000,Female,University,Single,28,0,46096,1442,0
300000,Female,University,Married,27,0,286321,20000,1
30000,Female,High School,Married,29,2,26836,2500,1
50000,Female,University,Single,25,1,0,0,1
250000,Female,University,Married,33,2,2500,0,1
60000,Male,Graduate School,Single,39,0,54978,2050,0
80000,Male,High School,Single,44,2,57076,2800,0
480000,Male,Graduate School,Single,33,1,-897,0,0
30000,Male,University,Married,44,1,23171,0,1
10000,Female,University,Single,25,0,9150,1185,0
410000,Female,Graduate School,Single,41,-2,0,0,0
100000,Male,Graduate School,Married,33,0,38219,5000,0
200000,Male,High School,Married,41,0,84573,2544,0
380000,Female,University,Married,48,0,363191,15504,0
100000,Male,University,Single,27,0,41298,2000,0
50000,Female,High School,Married,27,0,37651,1754,1
130000,Female,University,Married,28,0,107216,4000,1
120000,Male,University,Single,34,0,131773,3000,0
150000,Female,University,Married,42,0,139172,6022,0
310000,Female,Graduate School,Married,39,-1,1989,4566,0
110000,Female,University,Single,51,-2,150000,0,0
420000,Male,University,Married,37,0,415257,16850,1
140000,Male,University,Married,28,-1,6007,7340,1
500000,Female,Graduate School,Married,37,1,0,0,1
260000,Female,University,Single,26,0,258364,45446,0
90000,Female,University,Married,48,-1,316,316,1
90000,Female,University,Single,41,-1,48276,2281,0
20000,Male,High School,Single,35,-1,8918,0,0
30000,Male,University,Single,36,0,36124,2500,1
140000,Female,University,Married,36,0,45849,2100,0
340000,Female,University,Single,32,0,80174,3871,0
120000,Female,Graduate School,Single,31,-2,-66,0,0
420000,Male,Graduate School,Married,34,-1,18037,3048,0
100000,Male,High School,Married,48,-2,6345,0,0
350000,Female,University,Single,37,0,128146,4052,0
50000,Male,University,Married,26,0,48992,1769,0
30000,Female,Graduate School,Single,28,2,37,0,0
360000,Female,Graduate School,Single,29,-1,1766,4534,0
20000,Female,High School,Single,23,-1,17432,1165,0
400000,Female,University,Single,38,0,2988,1222,0
170000,Male,High School,Married,45,0,40441,5000,0
110000,Female,University,Married,36,1,10448,0,1
200000,Female,University,Married,37,-1,390,31638,1
200000,Female,Graduate School,Married,32,-2,6540,17301,0
360000,Male,Graduate School,Single,29,-1,5143,6159,0
500000,Male,Graduate School,Married,37,-1,1961,1188,0
20000,Male,University,Single,22,0,18462,1510,0
270000,Male,High School,Married,32,3,150616,0,0
20000,Male,University,Single,44,1,6535,0,1
350000,Female,Graduate School,Married,43,-2,0,0,0
150000,Female,University,Married,26,0,115786,10000,0
260000,Female,Graduate School,Single,30,0,83138,14038,0
90000,Male,Graduate School,Single,33,-1,1650,721,0
310000,Female,University,Married,32,0,162530,6100,0
210000,Female,Graduate School,Single,43,1,-3309,184212,0
40000,Female,University,Married,45,1,11402,0,1
80000,Female,University,Married,25,1,0,0,0
50000,Male,High School,Single,22,0,6673,1056,1
370000,Female,Graduate School,Married,46,-1,26555,1572,0
130000,Male,University,Single,28,0,113613,5847,0
710000,Female,University,Married,40,-2,5200,0,1
180000,Female,High School,Single,24,1,0,35300,0
80000,Female,University,Married,30,0,42755,3000,0
560000,Female,Graduate School,Single,32,0,68199,1548,0
170000,Female,Graduate School,Single,26,0,47642,4000,0
30000,Female,High School,Married,63,-1,8866,5884,0
430000,Female,Graduate School,Single,30,-1,2202,7232,0
500000,Female,University,Married,37,-1,7325,355,0
10000,Male,University,Single,26,0,7606,2000,1
130000,Female,Graduate School,Single,25,0,5279,4000,0
160000,Female,University,Single,50,-2,3,13333,0
150000,Male,Graduate School,Single,33,1,88590,0,1
340000,Female,University,Married,43,-2,33245,249,0
200000,Female,University,Married,37,0,184144,8017,0
130000,Male,University,Single,37,0,125780,6500,0
320000,Female,High School,Married,30,0,49889,2825,0
50000,Male,High School,Married,54,2,55518,3000,0
360000,Male,Graduate School,Married,46,-1,2171,1068,0
420000,Female,University,Single,29,0,408568,18000,0
110000,Male,Graduate School,Single,30,1,2932,0,0
80000,Male,University,Single,35,0,26994,2000,0
60000,Female,High School,Married,43,0,60283,3000,1
60000,Male,University,Single,24,0,47757,1468,0
210000,Male,University,Single,26,0,186109,5929,0
360000,Female,Graduate School,Married,46,0,42094,10600,0
20000,Male,University,Single,48,0,6111,4500,0
150000,Female,Graduate School,Single,42,1,-874,0,0
310000,Male,High School,Single,30,-2,-44,0,0
240000,Female,University,Married,40,-1,3571,2309,1
160000,Female,High School,Married,55,-1,4144,2016,0
240000,Female,Graduate School,Single,40,-1,1841,2,0
20000,Male,Graduate School,Single,22,0,14677,3004,0
190000,Male,Graduate School,Married,55,-1,390,390,1
280000,Female,University,Married,40,1,-10,0,0
80000,Male,University,Others,58,0,3719,1000,0
290000,Female,High School,Married,49,0,169004,7600,0
200000,Female,Graduate School,Married,34,-1,3987,1631,0
320000,Male,Graduate School,Married,50,-2,6426,0,0
350000,Female,University,Single,27,0,16022,1600,0
110000,Male,Graduate School,Single,33,0,39768,5548,0
300000,Female,University,Married,37,1,0,0,1
500000,Female,Graduate School,Married,44,1,706,1242,0
120000,Female,Graduate School,Single,35,-1,500,2483,0
80000,Female,High School,Others,31,0,5154,1124,0
200000,Female,University,Single,33,0,198878,7700,1
150000,Female,Graduate School,Single,26,-1,1551,2990,1
150000,Female,Graduate School,Single,40,0,145074,11000,0
210000,Male,University,Married,42,1,652,0,0
150000,Male,University,Single,36,-1,5382,0,1
50000,Female,Graduate School,Single,26,0,39052,6000,0
80000,Male,University,Married,33,0,79537,2359,0
50000,Male,University,Married,34,0,2522,0,0
20000,Female,University,Married,50,2,17393,1315,0
50000,Male,University,Married,37,0,27516,2000,0
50000,Male,Graduate School,Single,29,1,14497,0,0
280000,Male,University,Married,46,1,188894,10101,1
230000,Male,University,Married,51,0,197993,2965,0
230000,Male,University,Single,30,0,38651,8000,1
80000,Female,High School,Married,37,0,63185,5021,0
60000,Female,University,Others,35,0,12695,3000,0
200000,Male,University,Married,37,0,199669,9300,0
30000,Female,High School,Single,22,-1,-854,33404,0
340000,Female,Graduate School,Single,34,-1,32488,42552,0
250000,Female,University,Married,40,-1,4843,2942,0
200000,Male,Graduate School,Married,52,-1,1015,934,0
150000,Male,Graduate School,Single,39,0,146736,7027,0
100000,Female,High School,Married,53,1,0,0,0
220000,Female,University,Married,41,0,126532,4500,0
140000,Male,Graduate School,Single,32,1,-4,0,1
40000,Male,Graduate School,Married,28,-1,10371,2567,1
200000,Female,University,Single,30,0,185070,7022,0
520000,Female,Graduate School,Single,35,0,60912,7000,0
30000,Female,University,Married,22,0,16534,2002,0
20000,Male,University,Single,28,0,17973,1318,0
50000,Male,University,Single,40,0,14633,1218,1
300000,Female,High School,Single,29,0,143568,7951,0
500000,Female,Graduate School,Single,36,-1,10935,4081,0
490000,Female,University,Single,27,0,222705,5011,0
200000,Male,Graduate School,Single,27,-1,630,825,0
40000,Female,Graduate School,Single,23,2,19827,1500,1
150000,Female,Graduate School,Single,28,-1,3752,2730,0
50000,Male,Graduate School,Married,29,0,48310,2300,1
100000,Male,University,Single,27,0,99668,4850,0
50000,Female,High School,Married,42,2,44961,4000,1
130000,Female,University,Single,25,-1,390,780,0
70000,Female,Graduate School,Single,27,-1,157,157,0
30000,Female,Graduate School,Married,30,0,28289,2013,0
50000,Male,Graduate School,Single,28,0,31170,2005,0
80000,Male,Graduate School,Married,45,-1,1473,1473,1
220000,Female,Graduate School,Single,30,0,72546,5206,0
200000,Male,University,Married,45,0,200378,6061,0
120000,Female,University,Single,24,0,11296,1400,0
100000,Female,University,Single,25,2,98499,5000,0
100000,Female,High School,Married,59,1,0,7240,0
50000,Female,Graduate School,Single,23,0,50025,1626,0
240000,Male,University,Married,37,-1,2208,5665,0
60000,Male,Graduate School,Single,28,0,2295,6000,0
260000,Female,University,Married,34,-2,8214,2151,1
30000,Female,High School,Married,56,2,17643,1500,1
440000,Female,High School,Married,40,0,54408,5000,0
360000,Female,University,Single,30,0,132250,5000,0
50000,Female,Graduate School,Single,26,-1,5310,29000,1
270000,Male,Graduate School,Married,50,-1,316,316,0
150000,Female,Graduate School,Single,27,-1,30585,6000,0
200000,Male,High School,Single,26,-1,8355,8355,0
50000,Female,University,Married,36,0,44510,3000,0
210000,Female,Graduate School,Single,33,-1,970,1303,0
50000,Female,University,Single,27,2,47760,0,1
50000,Male,University,Single,24,0,19839,1328,0
440000,Male,Graduate School,Single,29,-2,26430,1249,0
60000,Female,Graduate School,Single,28,2,43662,0,1
70000,Female,University,Married,41,0,6017,3000,0
290000,Female,University,Single,25,0,71559,2500,0
140000,Male,University,Single,29,-1,487,487,0
310000,Female,University,Single,33,0,110786,6555,0
450000,Female,Graduate School,Single,36,1,-44,10267,0
360000,Male,Graduate School,Married,34,-1,997,1270,0
550000,Female,University,Married,34,0,383973,15000,0
180000,Male,Graduate School,Married,44,1,0,0,0
140000,Male,University,Married,37,0,34661,5334,0
50000,Male,Graduate School,Single,33,0,17094,2000,0
200000,Female,University,Married,30,-2,0,0,0
60000,Male,University,Married,39,0,54282,2128,0
140000,Male,Graduate School,Single,28,0,3234,4340,0
70000,Male,University,Married,42,0,70293,3300,0
20000,Female,University,Married,50,1,7973,2000,0
100000,Female,University,Married,24,0,68963,3000,0
360000,Male,Graduate School,Single,33,1,0,0,0
100000,Female,High School,Married,24,-1,440,500,0
160000,Female,High School,Single,41,-1,26736,3000,0
160000,Female,University,Single,27,0,163418,6200,0
130000,Male,University,Single,26,-1,296,1003,1
100000,Female,High School,Married,40,0,48923,2084,0
90000,Male,Graduate School,Married,35,0,15952,3100,1
80000,Male,University,Single,23,2,8613,4000,0
220000,Female,University,Married,28,5,216435,8355,1
260000,Female,Graduate School,Married,39,-2,5912,3786,1
30000,Male,High School,Married,45,2,25161,0,1
100000,Female,University,Married,40,1,4535,0,1
80000,Male,University,Single,39,0,55084,3012,0
20000,Female,University,Single,31,0,5526,1032,0
140000,Male,Graduate School,Married,41,0,19853,3000,0
30000,Female,Graduate School,Single,25,1,0,0,1
90000,Male,University,Married,39,0,20612,1676,0
150000,Female,University,Single,23,0,59555,2812,0
250000,Male,High School,Married,28,0,191305,3899,0
20000,Female,University,Married,37,1,19911,1500,1
50000,Male,University,Married,28,0,20914,10087,0
100000,Male,University,Married,31,3,2000,0,1
500000,Male,Graduate School,Married,46,-1,3580,18785,0
50000,Female,University,Married,36,2,47357,3000,0
40000,Female,Graduate School,Single,27,0,32228,8040,0
80000,Female,University,Married,35,0,75530,7000,0
100000,Male,Graduate School,Married,35,0,45124,1730,0
180000,Male,Graduate School,Single,29,-2,1073,3206,0
90000,Female,High School,Married,53,0,87235,4000,0
10000,Female,University,Single,23,-2,1082,2731,0
200000,Female,Graduate School,Single,33,-1,165,145,0
80000,Male,High School,Married,57,2,7431,2600,1
90000,Male,University,Single,33,2,62011,3000,1
80000,Female,University,Married,42,0,30900,0,1
90000,Female,University,Single,24,2,124457,6600,1
80000,Female,University,Married,46,-1,2350,2350,0
140000,Male,Graduate School,Single,27,-1,832,0,1
480000,Male,University,Married,39,0,398380,20091,0
230000,Male,Graduate School,Married,39,1,276758,12000,0
70000,Male,Graduate School,Single,27,-1,4168,0,1
200000,Female,Graduate School,Single,39,0,126082,6216,0
180000,Female,Graduate School,Single,35,0,66376,5000,0
190000,Male,High School,Married,37,0,181295,8019,0
20000,Female,University,Married,24,1,18817,0,0
10000,Male,Graduate School,Single,24,0,7680,2616,1
80000,Female,Graduate School,Married,45,0,81133,3502,0
60000,Male,High School,Single,28,2,53567,6950,0
500000,Female,Graduate School,Single,37,-1,4168,19169,0
50000,Male,High School,Single,42,-1,550,1974,1
360000,Female,Graduate School,Single,28,1,0,420,0
10000,Female,High School,Married,56,0,7324,2609,0
300000,Male,Graduate School,Married,54,-1,206,555,1
70000,Male,University,Married,48,0,8439,1188,0
250000,Female,University,Married,32,0,39936,8666,0
10000,Male,High School,Married,51,2,3577,2500,1
140000,Female,High School,Married,28,0,25184,5000,0
100000,Female,University,Married,40,1,0,0,0
110000,Female,Graduate School,Married,31,1,0,0,0
210000,Male,University,Married,38,-1,291,291,0
210000,Female,Graduate School,Married,40,-2,14472,680,0
70000,Female,University,Single,26,3,49201,0,1
20000,Male,University,Married,47,0,15166,1257,0
220000,Male,Graduate School,Single,31,-2,4935,3796,0
20000,Female,High School,Others,51,2,18355,1600,1
80000,Male,Graduate School,Married,28,2,56272,4000,0
500000,Female,University,Married,42,0,506787,21000,1
210000,Male,High School,Single,66,0,209396,6510,0
80000,Male,University,Single,27,2,76896,3613,1
50000,Female,University,Married,37,2,40994,5500,0
240000,Male,Graduate School,Married,35,1,0,11901,0
150000,Female,University,Single,23,-2,198,4848,0
210000,Female,University,Married,49,1,0,0,0
360000,Female,University,Single,28,1,0,0,1
230000,Female,Others,Married,29,0,70069,3000,0
500000,Male,Graduate School,Single,35,1,-453,2336,0
150000,Female,University,Married,34,-1,50523,1763,0
30000,Female,University,Single,31,1,27254,0,1
470000,Male,Graduate School,Married,57,0,83852,3477,0
200000,Male,Graduate School,Married,59,0,27119,1700,0
470000,Male,Graduate School,Single,35,0,211775,9883,0
310000,Male,Graduate School,Single,32,0,53340,69220,0
210000,Female,Graduate School,Single,28,0,204191,9000,0
500000,Female,University,Married,41,-1,24433,187206,0
80000,Female,University,Single,27,0,72991,3320,0
20000,Male,High School,Single,38,0,11805,1400,1
150000,Male,High School,Single,32,1,3706,40093,0
390000,Male,High School,Married,39,0,475934,59324,0
10000,Male,Graduate School,Single,29,0,10208,1500,0
390000,Female,High School,Married,46,-2,14315,7097,0
210000,Male,High School,Married,41,-1,390,1732,1
350000,Female,Graduate School,Married,33,-2,16414,693,1
150000,Female,Graduate School,Single,35,-1,3299,599,0
210000,Female,University,Married,36,0,54717,2017,0
100000,Male,Graduate School,Married,55,0,18135,2000,0
210000,Male,Graduate School,Single,36,0,210463,5187,1
290000,Female,University,Married,48,-1,31386,31401,0
330000,Male,University,Married,50,1,-13,2763,1
50000,Male,University,Single,37,0,50701,2202,0
80000,Male,High School,Single,27,0,47163,1821,0
340000,Male,University,Married,35,0,39229,2000,0
120000,Male,High School,Married,38,0,40538,1988,0
30000,Female,University,Single,22,0,3158,5572,0
260000,Female,Graduate School,Single,35,0,20556,9581,0
50000,Male,University,Married,64,0,48369,2384,0
420000,Female,High School,Single,25,1,72874,0,1
130000,Female,University,Married,28,0,71983,4000,0
270000,Female,University,Married,30,0,62599,5000,0
50000,Male,High School,Single,30,0,6615,1135,0
20000,Male,University,Married,34,0,17179,1300,1
140000,Female,University,Married,34,0,132541,7000,0
100000,Female,University,Married,35,0,106229,3000,0
50000,Male,High School,Single,41,2,29368,0,0
500000,Male,Graduate School,Single,37,-1,27181,7254,0
80000,Male,University,Married,35,0,78507,3085,0
220000,Female,University,Married,34,-1,51565,15683,1
30000,Male,University,Married,34,2,27358,1750,0
240000,Male,University,Single,26,0,161766,7000,0
220000,Male,High School,Married,41,-2,10804,34415,0
320000,Male,University,Married,32,-1,6443,451,0
230000,Female,University,Married,36,0,52689,0,0
20000,Male,High School,Single,44,-1,780,0,0
280000,Female,University,Married,34,0,82691,3500,0
110000,Male,University,Married,44,0,111188,6010,0
180000,Female,University,Married,26,0,186248,18000,0
100000,Male,High School,Married,51,0,93970,3799,0
80000,Male,University,Married,37,0,43311,5377,0
260000,Female,High School,Single,30,-1,1264,6894,0
110000,Female,University,Single,25,2,111483,5900,0
150000,Female,University,Married,31,0,104014,5500,0
180000,Female,University,Single,35,-1,15288,4194,0
230000,Female,University,Married,28,0,53542,36000,0
500000,Female,Graduate School,Single,27,0,73798,4794,0
300000,Male,University,Single,30,0,1485,0,0
180000,Female,University,Single,31,-1,326,326,0
30000,Female,University,Single,24,2,1050,0,1
110000,Female,High School,Single,29,1,6467,1114,0
100000,Female,University,Married,28,0,36428,6000,0
390000,Male,Graduate School,Single,31,0,381453,15024,0
180000,Female,Others,Married,35,0,29197,2000,0
300000,Female,High School,Married,37,1,5975,1905,0
260000,Female,Graduate School,Single,36,-1,7740,1445,0
360000,Female,University,Single,29,1,0,0,0
80000,Female,University,Single,26,0,509,525,0
100000,Female,Graduate School,Single,26,-1,26273,0,1
20000,Male,High School,Married,47,2,14328,3114,1
210000,Female,Graduate School,Single,33,-1,27042,0,0
10000,Female,University,Married,25,0,6991,1126,0
150000,Male,Graduate School,Single,26,-1,360,360,0
360000,Male,High School,Married,37,-1,390,390,0
80000,Female,University,Single,42,0,16959,1235,0
130000,Female,Graduate School,Single,29,-1,13194,9403,0
30000,Male,Graduate School,Single,36,0,9934,1000,0
430000,Female,University,Married,30,2,332721,10896,1
20000,Female,University,Single,23,0,16641,1602,0
50000,Male,University,Single,32,0,50342,8025,0
140000,Female,University,Married,26,0,129996,7000,0
200000,Male,Graduate School,Single,32,-1,11494,9139,0
80000,Male,University,Married,28,2,65499,0,0
50000,Female,University,Single,23,0,12630,1211,1
280000,Female,University,Single,27,1,297192,0,0
710000,Male,University,Married,51,1,0,0,0
180000,Male,Graduate School,Single,29,1,0,100000,0
500000,Male,Graduate School,Single,39,-2,12106,13351,0
360000,Male,University,Single,33,1,0,0,1
50000,Male,Graduate School,Single,29,-1,20258,3000,0
80000,Male,University,Single,27,2,62824,2178,1
50000,Female,University,Married,44,0,43596,5000,0
50000,Female,University,Single,23,0,13717,2008,0
150000,Male,Graduate School,Single,33,-1,1532,0,0
360000,Male,University,Single,28,1,0,0,1
50000,Female,University,Married,32,0,49547,2100,0
50000,Female,Graduate School,Others,48,0,83400,1600,0
200000,Female,Graduate School,Single,29,-2,9344,723,0
80000,Male,Graduate School,Single,29,1,-54,36710,0
140000,Female,University,Married,46,-1,390,390,0
20000,Female,Graduate School,Others,22,0,14993,1800,1
80000,Female,High School,Single,34,1,0,0,0
110000,Male,University,Married,30,0,107372,5000,0
140000,Female,Graduate School,Single,27,0,143536,5341,0
300000,Female,Graduate School,Single,31,0,32608,20018,0
50000,Female,University,Single,29,0,47411,1300,1
180000,Female,Others,Married,39,0,84484,3007,0
290000,Female,University,Married,39,0,212943,16923,0
60000,Female,University,Married,36,1,0,0,0
100000,Female,University,Married,38,1,12893,0,0
30000,Male,University,Married,41,0,29866,1900,0
220000,Female,High School,Single,27,2,150739,7000,0
230000,Female,University,Single,30,-2,0,0,0
30000,Female,Graduate School,Single,29,1,0,0,0
20000,Female,University,Married,47,0,1343,1547,0
50000,Male,University,Single,30,-1,780,780,0
80000,Female,University,Married,46,1,0,0,1
90000,Male,Graduate School,Single,29,0,24802,3200,0
80000,Male,Graduate School,Single,31,0,19824,5000,0
50000,Female,High School,Single,23,2,37350,3000,1
50000,Female,University,Single,29,-2,5520,0,0
20000,Male,High School,Single,53,2,19369,3900,0
250000,Female,Graduate School,Married,38,-1,532,1106,0
120000,Female,University,Single,24,-1,889,1742,0
110000,Female,University,Single,28,1,112597,0,1
160000,Male,Graduate School,Single,33,-1,100,0,0
80000,Female,High School,Married,52,2,82198,3543,0
410000,Male,University,Married,36,-2,41116,5071,0
100000,Female,University,Married,43,-1,21293,70973,0
750000,Female,University,Married,43,-1,72495,99664,0
30000,Male,University,Single,47,0,29554,1895,0
80000,Male,University,Single,33,1,19073,3895,0
430000,Female,Graduate School,Single,31,-2,10226,5873,0
480000,Male,Graduate School,Married,44,0,350110,14082,0
360000,Female,High School,Married,29,1,0,0,1
150000,Female,Graduate School,Married,37,0,26416,2497,0
130000,Male,Graduate School,Single,28,0,89418,4000,0
40000,Male,University,Married,47,1,37611,0,0
280000,Female,Graduate School,Married,34,-1,11584,7011,1
40000,Male,University,Married,45,2,33547,4000,0
120000,Female,Graduate School,Single,26,-2,10415,5771,0
290000,Male,Graduate School,Married,39,-1,1757,3579,0
250000,Male,High School,Married,39,-1,1976,3318,0
200000,Male,Graduate School,Married,43,-1,1144,2506,0
80000,Male,University,Single,32,0,81115,5000,0
130000,Female,University,Single,27,0,18776,3000,0
290000,Female,University,Married,37,-1,1428,1500,1
180000,Female,Graduate School,Single,29,-1,1010,3394,0
360000,Female,Graduate School,Married,31,-2,-5,0,0
140000,Female,University,Married,37,-1,316,586,0
350000,Female,Graduate School,Married,41,-1,57956,15987,0
260000,Male,Graduate School,Single,36,-2,0,0,0
40000,Male,Graduate School,Single,26,0,18338,2000,0
180000,Female,Graduate School,Single,27,1,-200,0,1
80000,Male,High School,Married,27,0,22381,1500,1
500000,Female,Graduate School,Married,45,-1,3852,2403,0
80000,Male,Others,Single,27,-2,46089,4840,0
30000,Male,High School,Married,57,0,20976,2000,0
220000,Female,University,Married,37,1,0,0,0
70000,Female,University,Single,22,0,68247,2120,0
510000,Male,Graduate School,Married,41,-1,3196,16447,0
20000,Female,University,Single,22,0,18011,2000,0
100000,Female,University,Married,40,2,47243,2000,1
340000,Female,University,Married,30,0,338272,15000,0
180000,Female,Graduate School,Single,29,-2,0,0,0
290000,Female,Others,Single,38,1,0,1437,0
80000,Male,University,Single,53,0,80577,3261,0
280000,Male,Graduate School,Married,42,-2,1751,22909,0
180000,Female,Graduate School,Single,40,-2,0,0,0
140000,Female,Graduate School,Married,66,1,0,0,0
500000,Female,Graduate School,Single,32,-1,103880,39560,0
230000,Male,University,Single,34,0,151778,5556,0
250000,Female,University,Married,26,1,631,0,1
10000,Male,University,Single,24,0,5803,1300,0
230000,Male,Graduate School,Married,39,0,220706,11200,0
70000,Male,Graduate School,Single,29,0,63603,7666,0
140000,Female,Graduate School,Married,39,-2,4654,5525,0
430000,Female,Graduate School,Married,48,-1,9900,0,0
120000,Female,Graduate School,Single,28,-1,200,1986,1
20000,Female,University,Single,25,0,16654,2000,0
30000,Male,Graduate School,Single,32,0,29250,3600,0
80000,Male,High School,Single,43,7,81071,0,1
400000,Female,Graduate School,Single,39,0,404924,13521,0
200000,Female,Graduate School,Married,37,1,0,0,0
30000,Male,Others,Single,23,-2,2700,899,0
50000,Female,University,Single,46,1,50471,0,0
250000,Male,Graduate School,Married,46,-1,1197,0,1
120000,Male,Graduate School,Single,28,-1,8922,35000,1
80000,Male,High School,Married,45,1,-1213,38677,0
430000,Female,Graduate School,Married,33,-2,1837,373,0
120000,Female,Graduate School,Single,24,0,75796,3700,0
20000,Female,University,Single,22,0,20386,1510,0
20000,Female,University,Single,32,0,129106,4420,0
80000,Male,Graduate School,Single,25,-2,0,0,0
20000,Female,University,Single,44,0,7678,3347,0
140000,Female,University,Single,27,1,0,0,0
10000,Female,University,Single,22,0,14896,7000,0
220000,Female,High School,Single,34,-2,99518,937,0
60000,Male,Graduate School,Married,48,-1,282,62773,0
80000,Male,High School,Married,59,1,21723,0,0
30000,Male,University,Single,25,0,29745,2500,1
140000,Female,University,Married,27,1,139058,4900,0
20000,Male,University,Single,26,0,4491,1500,0
100000,Female,High School,Single,46,0,94657,3000,0
220000,Male,Graduate School,Single,35,0,158882,8000,0
80000,Female,Graduate School,Single,40,0,27432,1833,0
80000,Female,High School,Single,46,0,76184,3345,0
130000,Male,University,Single,28,2,70952,0,1
300000,Female,Graduate School,Married,33,1,0,0,0
60000,Female,University,Married,42,0,58264,3200,0
360000,Female,Graduate School,Married,32,-1,249,0,0
10000,Male,University,Single,24,-1,12,0,1
50000,Male,University,Single,32,0,32813,3000,1
50000,Male,University,Married,48,0,42156,4022,0
200000,Male,University,Married,35,1,0,0,0
30000,Female,University,Single,24,1,15164,2000,1
220000,Male,Graduate School,Married,42,0,3208,6000,0
200000,Female,Graduate School,Single,41,-2,5954,10464,0
80000,Female,High School,Single,27,1,84718,0,1
200000,Male,University,Married,39,-2,15109,3155,0
240000,Female,Graduate School,Married,34,-1,652,0,1
500000,Female,University,Single,28,-1,72620,873,0
230000,Male,High School,Married,38,-2,6901,0,0
20000,Male,High School,Single,22,0,11242,1282,0
50000,Male,Graduate School,Married,35,0,40730,4069,0
100000,Female,University,Married,35,0,5830,1118,0
230000,Female,University,Single,37,-2,0,0,0
60000,Male,University,Single,28,0,42243,7773,0
120000,Female,High School,Married,48,-1,3845,0,1
130000,Female,High School,Single,23,-1,5719,10000,0
50000,Female,High School,Married,25,2,31097,0,1
400000,Female,Graduate School,Single,30,-1,14013,5460,0
240000,Female,University,Single,27,-2,4400,0,1
70000,Male,High School,Single,53,0,9928,1497,0
20000,Female,Graduate School,Single,22,0,28758,1423,0
50000,Male,High School,Single,28,2,28129,1800,1
240000,Female,Graduate School,Married,54,0,60381,5000,0
380000,Male,Graduate School,Single,31,0,167061,6000,0
50000,Male,University,Single,24,0,5219,1500,0
50000,Female,University,Single,33,0,12498,4000,0
430000,Female,Graduate School,Single,33,0,40984,10000,0
60000,Female,Graduate School,Single,26,0,22921,5000,0
30000,Female,University,Single,25,0,3638,1130,0
170000,Male,High School,Married,48,0,170845,6800,0
70000,Female,Graduate School,Single,29,0,40783,4100,0
130000,Female,University,Single,28,-1,390,7412,0
50000,Male,Graduate School,Married,50,1,49252,1521,1
20000,Female,High School,Single,38,1,0,3796,1
50000,Male,High School,Married,48,-1,1058,1726,1
20000,Male,High School,Single,28,2,14043,1600,0
110000,Female,University,Single,32,-1,2015,1403,0
90000,Female,University,Single,24,0,76453,2500,0
180000,Female,Graduate School,Single,24,0,64800,4000,0
50000,Female,University,Single,28,0,43747,1746,0
200000,Male,University,Married,36,1,-1,0,0
20000,Female,Graduate School,Married,32,2,11337,6000,1
50000,Male,Graduate School,Single,44,0,51671,1928,0
170000,Female,University,Married,39,0,114007,7000,1
380000,Male,Graduate School,Married,48,0,356375,40000,0
30000,Male,University,Single,39,1,1623,1000,1
30000,Female,University,Single,23,0,19594,1346,0
160000,Male,High School,Married,36,-1,4030,6720,0
60000,Female,High School,Married,39,2,29565,3000,1
450000,Female,Graduate School,Single,31,2,1638,54490,0
80000,Female,University,Married,43,-2,398,381,1
90000,Female,Graduate School,Single,26,1,23812,0,0
30000,Male,University,Married,33,1,0,0,1
50000,Male,University,Single,25,2,48885,2200,1
30000,Male,High School,Married,49,2,26343,1500,0
50000,Male,High School,Married,52,1,32119,0,1
320000,Female,Graduate School,Married,34,-1,7417,8000,0
300000,Female,University,Married,43,-1,1314,0,0
390000,Female,Graduate School,Single,43,0,90294,3200,0
50000,Female,University,Single,23,0,47662,2000,0
20000,Male,University,Married,26,2,1050,0,1
90000,Male,University,Single,52,0,87186,3505,0
300000,Male,High School,Single,51,-1,18341,19854,0
300000,Female,Others,Single,32,0,54053,15235,0
200000,Male,Graduate School,Married,34,-1,5392,1938,0
50000,Male,University,Single,24,0,33715,6600,0
